,META,AAPL,GOOGL,NFLX,AMZN,^GSPC,Average,Best
price,0.652,1.726,2.177,1.094,0.802,0.478,1.155,1
price + return,0.487,1.504,0.795,1.861,1.904,0.441,1.165,1
price + ma_10,0.65,1.445,1.511,1.22,1.079,0.458,1.06,0
price + ma_30,0.651,1.569,0.753,1.475,1.629,0.493,1.095,0
price + ma_60,0.747,1.447,0.979,2.054,4.952,0.46,1.773,0
price + return + ma_10,0.552,1.391,0.868,1.796,1.479,0.523,1.102,0
price + general_sum,0.774,1.119,0.719,1.767,0.747,0.453,0.93,0
price + general_mean,0.806,1.234,0.841,1.25,0.812,0.626,0.928,0
price + general_count,0.818,1.367,0.745,1.925,0.727,0.486,1.011,1
price + company_sum,0.667,1.221,1.582,2.506,2.518,0.518,1.502,0
price + company_mean,0.454,1.034,0.679,1.46,2.305,0.598,1.088,2
price + company_count,1.043,1.63,1.483,2.313,2.402,0.526,1.566,0
price + gen_com_mean,0.524,1.647,0.794,1.703,0.941,0.511,1.02,0
price + general_sum + company_sum,0.631,1.946,1.126,2.089,3.01,0.575,1.563,0
price + general_mean + company_mean,0.611,1.424,0.546,2.161,1.399,1.097,1.206,1
price + general_count + company_count,0.584,1.622,1.262,1.753,3.011,0.528,1.46,0
price + return + general_mean,0.515,1.411,1.006,2.127,1.426,0.73,1.202,0
price + return + gen_com_mean,0.54,1.541,0.886,1.642,1.599,0.595,1.134,0
