feature-set,META,AAPL,GOOGL,NFLX,AMZN,Average,Best,^GSPC
fs-price,0.172,0.215,0.241,0.421,0.217,0.075,0,0.244
fs-return,0.202,0.216,0.245,0.541,0.201,0.123,0,0.169
fs-ma15,0.201,0.286,0.3,0.525,0.257,0.215,0,0.187
fs-ma30,0.213,0.326,0.275,0.497,0.304,0.237,0,0.198
fs-return-ma15,0.244,0.207,0.268,0.444,0.164,0.107,1,0.166
fs-general-sum,0.368,0.227,0.275,0.378,0.186,0.175,0,0.23
fs-general-sum-count,0.412,0.226,0.233,0.376,0.188,0.168,2,0.233
fs-general-mean,0.281,0.425,0.514,0.688,0.311,0.547,0,0.299
fs-general-mean-count,0.325,0.517,0.321,0.718,0.243,0.443,0,0.31
fs-company-sum,0.49,0.184,0.282,0.892,0.174,0.378,0,0.24
fs-company-sum-count,0.545,0.189,0.254,0.975,0.261,0.461,0,0.264
fs-company-mean,0.411,0.417,0.383,0.591,0.341,0.503,0,0.252
fs-company-mean-count,0.459,0.257,0.353,0.816,0.377,0.529,0,0.326
fs-general-company-sum,0.315,0.232,0.263,0.742,0.206,0.265,0,0.233
fs-general-company-sum-count,0.316,0.17,0.241,1.019,0.213,0.314,1,0.264
fs-general-company-mean,0.287,0.649,0.319,0.505,0.537,0.569,0,0.251
fs-general-company-mean-count,0.311,0.497,0.286,0.534,0.29,0.371,0,0.333
fs-return-general-mean,0.156,0.182,0.297,0.472,0.189,0.094,1,0.18
fs-ma15-general-mean,0.361,0.346,0.315,0.552,0.248,0.337,0,0.233
